OBJECTID,HUC_12,Pct_Land,Percent nonbuffered agriculture,Percent of agriculture that is buffered,Average width of stream buffers downstream from agriculture (meters),Net agricultural phosphorus balance (kg P/ha/yr),Crop phosphorus removal (kg P/ha/yr),Phosphorus fertilizer application (kg P/ha/yr),Phosphorus application as manure (kg P/ha/yr),WSfrq,Candidate Ecological Restoration Areas per square kilometer,Population [12-digit HUC],Pct ag on slope >= 3%,Percent pasture on slopes >= 3%,Percent cropland on slopes >= 3%,Pct ag on slope >= 9%,Percent pasture on slopes >= 9%,Percent cropland on slopes >= 9%,Dissolved nutrients in surface runoff from agricultural fields (tons) Nitrogen,Dissolved nitrogen in non-tile drain subsurface flow from agricultural fields (tons),Dissolved nutrients in tile drain subsurface flow from agricultural fields (tons) Nitrogen,Nutrients attached to eroding surface soil from agricultural fields (tons) Nitrogen,Dissolved nutrients in leachate from agricultural fields (tons) Nitrogen,Dissolved nutrients in surface runoff from agricultural fields (tons) Phosphorus,Nutrients attached to eroding surface soil from agricultural fields (tons) Phosphorus,Dissolved nutrients in tile drain subsurface flow from agricultural fields (tons) Phosphorus,Dissolved nutrients in leachate from agricultural fields (tons) Phosphorus,Subsurface water flow through agricultural tile drainage systems (mm),Non-tile drainage system subsurface water flow from agricultural lands (mm),Percolation from agricultural lands (mm),Surface runoff from agricultural land (mm),Surface sediment erosion from agricultural lands (tons),Thermo_Plants,FWWGYR,FWCGYR,Thermoelectric water use (million gallons/day) Withdrawal,Thermoelectric water use (million gallons/day) Consumption,Industrial water use (gallons/day),Industrial water use (million gallons/day),Count of Industrial Facilities,Rd Buffer Area,Population near major roadway with little to no tree buffer,Roads near streams (km/km),Road Density (km/km2),Roads Crossing Streams - Count,Roads Crossing Streams - Count per Km of Stream,Percent tree canopy,Percent tree canopy in stream buffers,Total permitted discharges - pounds per year,Total permitted discharges - toxic-weighted pound-equivalents,Permitted metals discharges - pounds per year,Permitted metals discharges - toxic-weighted pound-equivalents,Permitted priority pollutant discharges - pounds per year,Permitted priority pollutant discharges - toxic-weighted pound-equivalents,Permitted solids discharges (total pounds per year),Permitted organic enrichment discharges (total pounds per year),Permitted nitrogen discharges - total pounds per year,Permitted nitrogen discharges - pounds per year from publicly-owned treatment works,Permitted phosphorus discharges - total pounds per year,Permitted phosphorus discharges - pounds per year from publicly-owned treatment works,Permitted nitrogen discharges - pounds per year from non publicly-owned treatment works,Permitted phosphorus discharges - pounds per year from non-publicly-owned treatment works,Permitted pathogen indicator discharges (colony-forming units / 100 ml)  - average,Permitted pathogen indicator discharges (colony-forming units / 100 ml)  - maximum,Wastewater flow discharges - daily average (mgd),Wastewater flow discharges - annual total (mgy),Number of combined sewer overflow events,Number of farmers markets [12-digit HUC],Percentage of land area in estimated floodplains classified as natural,Percentage of land area in estimated floodplains classified as forest,Percentage of land area in estimated floodplains classified as shrubland,Percentage of land area in estimated floodplains classified as wetland,Percentage of land area in estimated floodplains classified as developed,fp_pdevl,fp_pdevm,fp_pdevh,Percentage of land area in estimated floodplains classified as agriculture,fp_pagp,Percentage of land area in estimated floodplains classified as agriculture - cropland,Area of estimated floodplain classified as land (m2),Area in square meters of estimated floodplain classified as water,Percentage of area that is both land and floodplain,Number of vulnerable native aquatic species based on IUCN range,Native aquatic species rarity index,Native aquatic species vulnerability index,Native aquatic species richness,Non-native aquatic species richness - animals,Non-native aquatic species richness - plants,Non-native aquatic species richness - plants and animals,Percentage of land area in estimated floodplains classified as rangeland,Nitrate violation index - Groundwater,Nitrate violation index - Surface water,Shape__Area,Shape__Length
35408,100800010301,99.9565586003461,0.3757343,83.4771886559803,55.1112823674476,0.270189555308606,0.357562233181551,0.601350933851744,0.0264177265244197,8,0.06228859,441.594802064,2.061559,1.964124,0.09743514,0.3217463,0.3175404,0.004205834,0.61252936838,0.103999461229,0,1.14274493385,0.0235936967641,0.049099320386,0.120131332082,0,1.7195831538,0,20.1843930814,234.921434497,103.400098508,1.17157900417,0,0,0,0,0,9360.4519774,0.0093604519774,2,3505500,101.883158203,0.0384559809861,0.536589925845,16,0.154791123938,3.59991146462801,6.91916392401409,85960.3150744,0,0,0,0,0,8584.0175484,3522.39764625,0,0,0,0,0,0,404.341666667,2877,0.07925,28.997,0,0,83.28726,0.3402084,42.65363,39.42165,8.717839,3.615415,0.3774334,0,7.994897,9.535161,0.02126302,4232700,348300,3.29561142891996,0,0,0,34,1,0,1,43.52541,0.205248484848485,0.299969696969697,244128005.269531,122550.298516675
35409,100800010302,98.4856535600425,0.01034262,85.4368932038835,95.2233009708738,0.00484969016758558,0.00641796106655526,0.0107952390834929,0.00047417742861714,1,0.007569324,28.4927581813,0.1376467,0.1376467,0,0.0698609,0.0698609,0,0.177954627246,0.0168289303769,0,0.146948426825,0.0195957945873,0.0168583454584,0.0132589736432,0,0.56422541059,0,3.25421983134,174.827955188,92.8373478222,0.134821357098,0,0,0,0,0,0,0,0,208800,9.14388231467,0.00700997880571,0.1573077809,5,0.0614361131117,18.3474005820931,22.3652078418612,,,,,,,,,,,,,,,,,,,,0,97.20057,43.94047,16.26506,36.71155,1.311127,0.353857,0,0,1.488306,2.476999,0,2539800,1126800,1.92245686269377,0,0,0,34,0,0,0,16.47767,0.23739,0.311067777777778,250683456.292969,91479.8005099146
35410,100800010303,93.1194795550698,0.06409177,78.9285714285714,72.8464285714286,0.000876045958006914,0.00115933774255946,0.00195001410588008,0.0000856552079336163,5,0.02905448,7.74161551333,0.002246383,0.001684787,0.0005615958,0.001123192,0.001123192,0,0.171040858868,0.0142076906828,0,0.15855250486,0.0169096462363,0.00417900753789,0.0172793424242,0,0.188622382579,0,3.89225321706,197.671979073,103.111565835,0.169533746982,0,0,0,0,0,0,0,0,56700,0,0.0248994572809,0.134278979689,11,0.0993340475284,6.81592990494389,10.1791370999132,,,,,,,,,,,,,,,,,,,,0,98.62504,29.99141,37.20997,26.63993,0.1718705,0.2060642,0,0,1.203094,0.3532529,0,3141900,4526100,1.82572547818071,0,0,0,34,1,0,1,41.62131,0.424833333333333,0.454970833333333,326077501.621094,95679.8012692363
35420,100800010501,99.7250921566066,0.0358821,89.1752577319588,113.984536082474,0.00523469365176004,0.00692746523827228,0.0116498087222036,0.000511821062710444,1,0.006311047,56.6717288186,0.03816033,0.03702122,0.001139114,0.01082159,0.01082159,0,0.436256058283,0.0582669918615,0,0.745847122732,0.00440138700879,0.0127253337169,0.0828627916667,0,0.486218656772,0,14.6688753013,158.501294168,61.3007906575,0.793870027635,0,0,0,0,0,0,0,0,1899900,43.2930232855,0.0131009322819,0.116581018734,8,0.0604231905868,5.26501863438985,7.43204293594394,,,,,,,,,,,,,,,,,,,,0,97.02892,0.2392821,48.75374,41.53539,1.674975,1.171646,0.1562195,0,1.296112,0,0,4513500,517500,2.84849109166609,0,0,0,32,1,0,1,54.99501,0.390544230769231,0.422526923076923,300402140.269531,94373.0098505894
35421,100800010502,99.180642907058,0.4333198,87.4039938556068,166.341525857655,0.486601956063287,0.64395709849617,1.08657631026396,0.0475774031562581,0,0,11.1085537574,1.636399,1.597647,0.03875218,0.1514858,0.1497243,0.001761463,1.87814031028,0.112797423521,0,1.98533638554,0.0224104064547,0.0420261842077,0.214726382022,0,1.90593903719,0,16.8365422465,289.979523978,113.862484521,2.0101538341,0,0,0,0,0,0,0,0,1149300,2.24947710377,0.0276249553402,0.63335714245,6,0.187165799722,0.666637243132547,1.39964294822749,,,,,,,,,,,,,,,,,,,,0,83.02991,0,29.12874,49.12224,1.121586,0.1115005,0.01592864,0,15.84851,14.97292,0,5536800,535500,10.7467198487461,0,0,0,32,0,0,0,33.79389,0.187113432835821,0.248419402985075,97699417.4335938,47898.7322451188
35422,100800010503,88.0878030258394,0.001335934,60,101.8,0,0,0,0,10,0.072742,0.00469702063128,0.008918286,0.008918286,0,0.008918286,0.008918286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.13576247411663,7.82383095401305,,,,,,,,,,,,,,,,,,,,0,100,46.31245,20.65821,18.87391,0,0,0,0,0,0,0,2269800,874800,1.65109788895435,0,0,0,32,0,0,0,32.27597,0.21786862745098,0.318803921568627,259206578.726563,82475.0990143638
35423,100800010504,96.8673789120012,0.01713276,94.1176470588235,160.970588235294,0.00947963532804813,0.0125451169782345,0.0211106266916506,0.000926869335720866,0,0,9.82938333865,0.09665149,0.08963647,0.007015028,0.002338343,0,0.002338343,0.793602395693,0.0475250612616,0,0.847959284948,0.00944831235609,0.0176872281134,0.0917107833233,0,0.793182059312,0,3.71984576097,50.777020557,23.1266769479,0.858483395541,0,0,0,0,0,0,0,0,274500,7.28110511564,0.0146501690217,0.248712539072,2,0.0307934075106,7.37841145610028,13.5539099837193,,,,,,,,,,,,,,,,,,,,0,98.55462,29.98319,42.15126,24.60504,0.7058824,0.3811944,0,0,0.7394958,1.683609,0,2677500,2855700,2.24622885236487,0,0,0,32,0,0,0,43.69748,0.423617647058824,0.402452941176471,225401712.707031,99641.3555144168
35424,100800010505,100,0,100,252.103896103896,0,0,0,0,0,0,1.56483841518,0.001333404,0.001333404,0,0.0006667022,0.0006667022,0,0.391810953484,0.0268382812238,0,0.268904173916,0.0182345260385,0.00932588275885,0.0279225583978,0,0.698112322172,0,6.52167666738,132.862422474,44.3648568963,0.27191343465,0,0,0,0,0,0,0,0,0,0,0.0418618250658,0.44292235405,23,0.232194063285,0.40062803349512,1.0153784900214,,,,,,,,,,,,,,,,,,,,0,99.83398,0.3135953,88.54455,0.2951485,0.166021,0,0,0,0,0,0,4878900,0,3.6143882142973,0,0,0,32,0,0,0,96.2553,0.455794117647059,0.535758823529412,256735892.851563,104183.782265819
35425,100800010601,99.5696221498914,3.12675,72.4249797242498,52.8441347784414,2.74634258251472,3.634442440841,6.11458888747025,0.268523064129458,15,0.1387428,98.8044142623,8.591804,8.366077,0.2257261,0.8794957,0.8627753,0.01672045,4.92634940646,0.342546095142,0,3.51716617153,0.24933445645,0.116475821064,0.365126101375,0,8.9664219887,0,16.1647882987,276.850624461,106.350504629,3.55373181886,0,0,0,0,0,0,0,0,1664100,43.6140687999,0.0255715787365,0.719598917469,16,0.162433741198,0.892364074501732,2.09772408585913,,,,,,,,,,,,,,,,,,,,0,68.22514,0.05360334,25.30673,41.84038,0.9767719,0.2372057,0.01186029,0,30.79809,36.01376,0.1131626,15111000,526500,13.9769450838962,0,0,0,32,0,0,0,26.33115,0.182011111111111,0.266483333333333,204434895.121094,110944.013837746
35426,100800010602,98.044392458295,1.418239,40.1811248808389,35.7909914204004,0.441504278560916,0.584275937762065,0.986049923071901,0.0431679872934453,3,0.01856589,30.3959033448,1.206086,1.199836,0.006249148,0.09487343,0.09487343,0,1.27329914669,0.0787707550684,0,1.2611292257,0.0260339447878,0.0287419150444,0.135506821919,0,1.49627385269,0,4.75460410845,61.9965280072,28.9749812636,1.27632407745,0,0,0,0,0,0,0,0,484200,3.52928086986,0.0190779472125,0.204455367664,7,0.103857379468,10.5029753663402,16.0440573370308,,,,,,,,,,,,,,,,,,,,0,72.83833,17.4996,11.51832,41.37712,2.316357,1.274697,0.04780115,0,24.84531,23.34289,0.01586546,5672700,1594800,3.51062395558125,0,0,0,32,0,0,0,13.86641,0.183403100775194,0.231340310077519,304749381.019531,137350.983402347
